,DHI,DNI,Date,GHI,Unnamed: 0,lat,log
308,39.514,229.479,09/2012,182.84099999999998,8,34.15,-117.25
309,37.458,202.368,10/2012,147.315,9,34.15,-117.25
310,26.764,165.727,11/2012,102.102,10,34.15,-117.25
311,26.64,117.77600000000001,12/2012,74.563,11,34.15,-117.25
312,34.329,136.171,01/2007,89.82799999999999,0,37.15,-120.25
313,38.037,103.537,02/2007,89.30799999999999,1,37.15,-120.25
314,51.001999999999995,194.957,03/2007,166.37099999999998,2,37.15,-120.25
315,59.92100000000001,192.34,04/2007,187.80700000000002,3,37.15,-120.25
316,61.205,254.43400000000003,05/2007,240.39,4,37.15,-120.25
317,60.258,258.228,06/2007,246.419,5,37.15,-120.25
318,59.5,259.591,07/2007,244.93400000000003,6,37.15,-120.25
319,52.786,250.824,08/2007,224.298,7,37.15,-120.25
320,45.676,212.005,09/2007,178.479,8,37.15,-120.25
321,41.743,181.012,10/2007,138.249,9,37.15,-120.25
322,34.171,138.338,11/2007,95.367,10,37.15,-120.25
323,30.614,85.85700000000001,12/2007,62.958999999999996,11,37.15,-120.25
324,34.441,62.268,01/2008,59.49100000000001,0,37.15,-120.25
325,39.141999999999996,129.088,02/2008,102.568,1,37.15,-120.25
326,54.033,195.679,03/2008,169.947,2,37.15,-120.25
327,55.295,230.33700000000002,04/2008,207.958,3,37.15,-120.25
328,63.617,238.405,05/2008,233.91400000000002,4,37.15,-120.25
329,58.018,264.157,06/2008,250.11900000000003,5,37.15,-120.25
330,59.346000000000004,255.305,07/2008,244.933,6,37.15,-120.25
331,50.254,257.851,08/2008,226.521,7,37.15,-120.25
332,43.086000000000006,221.84,09/2008,181.84599999999998,8,37.15,-120.25
333,40.854,172.213,10/2008,132.099,9,37.15,-120.25
334,34.21,109.241,11/2008,81.722,10,37.15,-120.25
335,29.951999999999998,71.506,12/2008,56.74,11,37.15,-120.25
336,32.086,99.62200000000001,01/2009,73.054,0,37.15,-120.25
337,38.657,101.568,02/2009,88.37799999999999,1,37.15,-120.25
338,49.755,193.43200000000002,03/2009,164.672,2,37.15,-120.25
339,56.135,224.607,04/2009,204.012,3,37.15,-120.25
340,62.207,242.59099999999998,05/2009,234.915,4,37.15,-120.25
341,65.278,233.545,06/2009,234.94799999999998,5,37.15,-120.25
342,52.739,280.297,07/2009,253.285,6,37.15,-120.25
343,53.492,241.05700000000002,08/2009,219.005,7,37.15,-120.25
344,47.479,205.553,09/2009,176.55200000000002,8,37.15,-120.25
345,41.972,165.96,10/2009,129.81799999999998,9,37.15,-120.25
346,33.366,132.577,11/2009,91.62299999999999,10,37.15,-120.25
347,30.811,83.551,12/2009,62.909,11,37.15,-120.25
348,32.844,43.979,01/2010,51.25,0,37.15,-120.25
349,40.185,69.97800000000001,02/2010,73.732,1,37.15,-120.25
350,54.391000000000005,163.851,03/2010,150.128,2,37.15,-120.25
351,60.781000000000006,168.66,04/2010,169.918,3,37.15,-120.25
352,66.084,230.21599999999998,05/2010,226.843,4,37.15,-120.25
353,55.82,271.653,06/2010,251.455,5,37.15,-120.25
354,53.286,279.013,07/2010,252.38,6,37.15,-120.25
355,53.143,256.402,08/2010,226.752,7,37.15,-120.25
356,47.983000000000004,213.732,09/2010,180.72299999999998,8,37.15,-120.25
357,46.996,146.276,10/2010,124.376,9,37.15,-120.25
358,32.251999999999995,125.484,11/2010,87.081,10,37.15,-120.25
359,29.33,52.343999999999994,12/2010,49.284,11,37.15,-120.25
360,31.25,42.856,01/2011,47.651,0,37.15,-120.25
361,38.032,125.266,02/2011,98.152,1,37.15,-120.25
362,55.646,130.71200000000002,03/2011,133.151,2,37.15,-120.25
363,58.938,204.93200000000002,04/2011,193.31,3,37.15,-120.25
364,66.191,228.13400000000001,05/2011,227.007,4,37.15,-120.25
365,61.133,236.391,06/2011,231.766,5,37.15,-120.25
366,54.361000000000004,274.947,07/2011,250.611,6,37.15,-120.25
367,50.458999999999996,260.348,08/2011,227.263,7,37.15,-120.25
368,50.137,203.503,09/2011,177.601,8,37.15,-120.25
369,42.897,180.951,10/2011,137.221,9,37.15,-120.25
370,34.858000000000004,110.098,11/2011,82.802,10,37.15,-120.25
371,31.299,130.128,12/2011,80.598,11,37.15,-120.25
372,32.721,114.572,01/2012,78.73899999999999,0,37.15,-120.25
373,39.248000000000005,123.932,02/2012,98.89399999999999,1,37.15,-120.25
374,54.566,144.497,03/2012,138.977,2,37.15,-120.25
375,56.945,202.46900000000002,04/2012,190.093,3,37.15,-120.25
376,63.722,260.644,05/2012,246.805,4,37.15,-120.25
377,47.53,286.10900000000004,06/2012,250.114,5,37.15,-120.25
378,53.235,272.712,07/2012,248.27700000000002,6,37.15,-120.25
379,53.381,243.718,08/2012,219.37400000000002,7,37.15,-120.25
380,49.924,205.19299999999998,09/2012,178.15099999999998,8,37.15,-120.25
381,44.474,161.988,10/2012,129.863,9,37.15,-120.25
382,32.472,101.758,11/2012,76.836,10,37.15,-120.25
