actual,closest
"(34.014899999999997, -118.4922)","(37.45, -119.55)"
"(37.405700000000003, -119.5675)","(33.85, -117.55)"
"(33.839500000000001, -117.53579999999999)","(37.05, -121.65)"
"(37.088700000000003, -121.6005)","(34.15, -118.85)"
"(34.143500000000003, -118.8561)","(35.85, -120.65)"
"(35.818100000000001, -120.63639999999999)","(33.05, -117.25)"
"(33.097799999999999, -117.26739999999999)","(37.85, -122.25)"
"(37.843699999999998, -122.2437)","(33.75, -117.95)"
"(33.786900000000003, -117.98220000000001)","(34.55, -118.05)"
"(34.5655, -118.0855)","(32.75, -117.05)"
"(32.794400000000003, -117.0722)","(37.85, -122.05)"
"(37.856699999999996, -122.0249)","(34.55, -117.85)"
"(34.596699999999998, -117.8447)","(33.85, -118.35)"
"(33.8108, -118.351)","(36.35, -119.85)"
"(36.312100000000001, -119.8035)","(34.15, -118.35)"
